"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.05733158062255e-57,0.580337658996732,0.631,0.388,1.05514164461888e-52,"0","ATP6V1H"
2.10854008681623e-56,0.675956342646003,0.568,0.346,3.15247828379895e-52,"0","WWP1-AS1"
2.27485145063393e-56,1.09703118221314,0.29,0.128,3.40113040384278e-52,"0","HTR1D"
2.35068269388848e-56,0.909256443244417,0.319,0.147,3.51450569563267e-52,"0","SPATA13"
2.51497773887293e-56,0.761993792559339,0.44,0.238,3.76014321738891e-52,"0","CEMIP2"
3.03494962503588e-56,0.516723848278249,0.74,0.493,4.53755318439114e-52,"0","GNG2"
1.53310854398872e-55,0.95239021463293,0.345,0.167,2.29215058411754e-51,"0","CDH18-AS1"
1.64825560324661e-55,0.619932991552976,0.593,0.357,2.46430695241401e-51,"0","RBM38"
2.85416450649672e-55,0.529096538036228,0.728,0.469,4.26726135366325e-51,"0","RBM10"
3.28396699120483e-55,0.760554974017373,0.454,0.25,4.90985904855034e-51,"0","NUDT1"
4.60290592529607e-55,0.509596164996556,0.752,0.525,6.88180464891015e-51,"0","EIF2S2"
4.91197853056442e-55,0.802946369563,0.445,0.243,7.34389910104686e-51,"0","C9orf152"
2.95209091839028e-54,0.752423126784764,0.465,0.256,4.41367113208531e-50,"0","LOC102724684"
1.41957045841278e-53,0.762338053535151,0.481,0.275,2.12239979237294e-49,"0","MTHFD2"
1.97328341083692e-53,0.592663668709758,0.631,0.404,2.95025602754228e-49,"0","SNTG2-AS1"
7.04856883972459e-53,0.667457492995343,0.54,0.32,1.05383152722722e-48,"0","C11orf71"
8.59748215389126e-53,0.902938946539069,0.313,0.145,1.28540955682828e-48,"0","PPP1R37"
2.23446355569126e-52,0.551303901815982,0.689,0.459,3.34074646211401e-48,"0","DPH3"
4.48337411194115e-52,0.900405694736883,0.349,0.173,6.70309263476321e-48,"0","GET3"
5.23580240839481e-52,0.595447417891933,0.57,0.351,7.82804818079107e-48,"0","SIAH1"
5.24370594723224e-52,0.594956408476351,0.671,0.452,7.83986476170692e-48,"0","PCDH7"
8.98473951657292e-52,0.516144934740525,0.62,0.377,1.34330840512282e-47,"0","PIGG"
1.11444657094359e-51,1.07410728122543,0.27,0.118,1.66620906821776e-47,"0","ZFPL1"
1.53271084380666e-51,0.552514201001631,0.627,0.397,2.29155598257533e-47,"0","INO80B"
1.01959675863057e-50,0.81954384410266,0.372,0.19,1.52439911382857e-46,"0","RCC2"
4.05435170442386e-50,0.584155982559994,0.536,0.32,6.06166123328411e-46,"0","PROSER2"
6.84992263786421e-50,0.761176155832304,0.416,0.224,1.02413193358708e-45,"0","ATF5"
7.60308942465505e-50,0.565778503725953,0.632,0.408,1.13673789988018e-45,"0","TIMM10B"
1.12601127477821e-48,0.852549944280745,0.303,0.143,1.6834994569209e-44,"0","AARS2"
2.4802661507825e-48,1.00687312411423,0.284,0.132,3.70824592203492e-44,"0","TCEAL3"
6.57369285529382e-48,0.86005540622319,0.332,0.166,9.82832818794979e-44,"0","TRAF4"
3.32496564914249e-47,0.819187159135172,0.354,0.185,4.97115614203294e-43,"0","MRPL23"
3.92272445868676e-47,0.808664579392185,0.338,0.171,5.86486533818257e-43,"0","GNG10"
5.64565460814767e-47,0.764356730059772,0.397,0.217,8.44081820464159e-43,"0","MIR4300HG"
1.29753275482439e-46,0.706452835963531,0.469,0.276,1.93994122173794e-42,"0","PAXIP1"
1.44281248694977e-46,0.508746865904011,0.587,0.367,2.1571489492386e-42,"0","PPP3R1"
5.41112753273597e-46,0.554103781086392,0.52,0.307,8.09017677419355e-42,"0","LINC01416"
6.28572614660985e-46,0.581010062085787,0.458,0.263,9.39778916179638e-42,"0","GCLC"
2.29476651482104e-45,0.876912302703769,0.307,0.151,3.43090541630893e-41,"0","TRIM52-AS1"
2.56598445824142e-45,0.645633775164787,0.483,0.285,3.83640336351674e-41,"0","SMN1"
6.00808585006195e-45,0.517492650668357,0.624,0.405,8.98268915442762e-41,"0","VPS13D"
3.87361875943054e-44,0.727049927613613,0.405,0.227,5.7914474072246e-40,"0","LOC101928565"
4.13651687241325e-44,0.543610940772325,0.566,0.356,6.18450637594506e-40,"0","SPCS3-AS1"
6.15868306476794e-44,0.829564071922904,0.363,0.196,9.20784705013454e-40,"0","MIS18BP1"
7.95281187815057e-44,0.57882328575899,0.549,0.343,1.18902490390229e-39,"0","SLC9C2"
1.3361900676692e-43,0.615377330403129,0.44,0.251,1.99773777017222e-39,"0","MKX"
2.02480731298364e-43,0.840335416450273,0.325,0.168,3.02728941364183e-39,"0","COLGALT2"
2.33782983781691e-43,0.756098531834438,0.36,0.193,3.49528939052007e-39,"0","BARX2"
2.62072911149733e-43,0.878024657908641,0.286,0.138,3.91825209459966e-39,"0","KIF22"
1.20171855872639e-42,0.58843142569063,0.467,0.275,1.79668941715183e-38,"0","RPA1"
2.67852343221633e-42,0.537009736675524,0.498,0.294,4.00466038350664e-38,"0","SLC40A1"
5.25544576770498e-42,0.618159078961308,0.445,0.265,7.85741696729571e-38,"0","TP53AIP1"
1.02951214117685e-41,0.796423642930098,0.321,0.166,1.5392236022735e-37,"0","ZNF627"
1.1558369360961e-41,0.571097944541798,0.521,0.323,1.72809180315727e-37,"0","WFDC3"
2.60128577174652e-41,0.559221645148791,0.546,0.343,3.88918235733823e-37,"0","COL14A1"
2.71647586985822e-41,0.537410060783275,0.584,0.387,4.06140307302502e-37,"0","LOC124904535"
3.34387912750823e-41,0.562722217723361,0.515,0.318,4.99943368353755e-37,"0","CYP51A1-AS1"
7.81130500594758e-41,0.608116965522798,0.369,0.2,1.16786821143922e-36,"0","PKP1"
1.2400056311696e-40,0.601628070253908,0.464,0.277,1.85393241916167e-36,"0","TBC1D9B"
1.68722892140395e-40,0.568832161580631,0.468,0.284,2.52257596039104e-36,"0","RBM4B"
2.11684604213289e-40,0.749171656471443,0.371,0.21,3.16489651759288e-36,"0","RASSF4"
4.48962091768658e-40,0.613698024750115,0.403,0.229,6.71243223403321e-36,"0","HOXA7"
5.40013146491329e-40,0.531917822094828,0.562,0.361,8.07373655319187e-36,"0","NUDT8"
6.64459420420348e-40,0.670302786119116,0.395,0.224,9.93433279470463e-36,"0","LOC105374642"
9.38394607267551e-40,0.511470390979413,0.543,0.34,1.40299377732572e-35,"0","PAQR9-AS1"
4.09059708352597e-39,0.866622306177644,0.271,0.134,6.11585169957968e-35,"0","TANC2"
4.20158893988051e-39,0.630267669442096,0.422,0.246,6.28179562401535e-35,"0","ZNF624"
